Estado do Cliente,Categoria do Produto,Valor Total,Status Real,Status Previsto,Acerto do Modelo
RJ,housewares,102.35,1,1,True
MG,garden_tools,66.67,1,1,True
MG,sports_leisure,49.69,1,1,True
RJ,watches_gifts,267.99,1,1,True
MG,furniture_decor,69.9,1,1,True
RJ,cool_stuff,147.64000000000001,1,1,True
SP,fashion_bags_accessories,58.62,0,1,False
SP,computers_accessories,248.76,1,1,True
SP,construction_tools_construction,87.43,1,1,True
SP,bed_bath_table,62.86,1,1,True
MG,electronics,41.85,1,1,True
SP,garden_tools,376.83,1,1,True
SP,bed_bath_table,50.68,1,1,True
RJ,furniture_decor,145.66,1,1,True
SP,furniture_decor,43.269999999999996,1,1,True
SP,construction_tools_construction,602.35,1,1,True
RJ,bed_bath_table,138.28,1,1,True
SP,musical_instruments,44.62,1,1,True
PR,health_beauty,31.14,1,1,True
DF,sports_leisure,159.16,1,1,True
SC,furniture_decor,76.08,1,1,True
PB,watches_gifts,180.82,0,1,False
PR,telephony,64.1,1,1,True
AL,books_general_interest,80.93,1,1,True
BA,bed_bath_table,107.77,1,1,True
RS,telephony,45.089999999999996,1,1,True
RJ,garden_tools,120.36,1,1,True
SP,sports_leisure,103.06,1,1,True
SP,sports_leisure,110.19,1,1,True
DF,baby,71.81,1,1,True
RJ,furniture_living_room,123.49,1,1,True
MS,bed_bath_table,290.22,1,1,True
SP,health_beauty,149.85999999999999,1,1,True
PR,bed_bath_table,229.11,1,1,True
SP,furniture_decor,98.7,1,1,True
SP,health_beauty,172.35,1,1,True
GO,home_appliances_2,820.24,1,1,True
RS,audio,105.28,1,1,True
SP,furniture_decor,63.61,1,1,True
MT,home_construction,143.84,1,1,True
SP,housewares,73.63,1,1,True
ES,sports_leisure,127.00999999999999,1,1,True
SP,housewares,89.55,1,1,True
SP,fashion_shoes,85.33999999999999,1,1,True
RS,bed_bath_table,106.23,1,1,True
SP,auto,387.57,1,1,True
SP,garden_tools,44.37,1,1,True
PR,stationery,153.56,1,1,True
RJ,bed_bath_table,87.64,1,1,True
RJ,housewares,279.52,1,1,True
MG,auto,826.29,1,1,True
SP,fixed_telephony,132.19,1,1,True
PR,auto,248.87,1,1,True
SP,cool_stuff,99.91999999999999,1,1,True
RN,watches_gifts,142.32999999999998,1,1,True
SP,music,781.51,1,1,True
MG,furniture_decor,27.09,1,1,True
MG,home_construction,162.1,1,1,True
MG,bed_bath_table,40.519999999999996,1,1,True
SP,health_beauty,138.81,1,1,True
MG,baby,130.17000000000002,1,1,True
SP,baby,189.39000000000001,1,1,True
RJ,stationery,90.04,1,1,True
SP,computers_accessories,91.7,1,1,True
RJ,computers_accessories,169.49,1,1,True
SP,watches_gifts,142.46,1,1,True
PE,pet_shop,79.53,1,1,True
SP,audio,142.56,1,1,True
PE,telephony,164.6,1,1,True
RN,pet_shop,170.0,1,1,True
PE,auto,64.94,1,1,True
SP,furniture_decor,126.68,1,1,True
SP,auto,74.63,1,1,True
RJ,sports_leisure,166.14000000000001,1,1,True
MG,computers_accessories,284.79,1,1,True
SP,small_appliances,39.68,1,1,True
SP,bed_bath_table,91.96000000000001,1,1,True
SC,toys,152.19,1,1,True
RO,pet_shop,91.05000000000001,1,1,True
RS,watches_gifts,202.05,1,1,True
MG,housewares,57.32,1,1,True
PA,perfumery,74.67,1,1,True
SP,bed_bath_table,70.97,1,1,True
RJ,computers_accessories,116.7,1,1,True
RJ,health_beauty,95.36999999999999,0,1,False
SP,bed_bath_table,44.239999999999995,1,1,True
RJ,sports_leisure,169.07,1,1,True
DF,bed_bath_table,137.99,1,1,True
SP,bed_bath_table,92.57,1,1,True
SP,telephony,59.96,1,1,True
SP,stationery,35.14,1,1,True
PE,computers_accessories,144.2,1,1,True
SP,sports_leisure,121.67,0,1,False
MG,furniture_decor,69.9,1,1,True
PR,telephony,24.42,1,1,True
SP,housewares,74.03,1,1,True
MG,bed_bath_table,55.01,1,1,True
MG,cool_stuff,109.84,1,1,True
RS,furniture_decor,105.29,1,1,True
SC,garden_tools,222.84,1,1,True
RJ,pet_shop,177.01000000000002,1,1,True
RJ,furniture_decor,26.45,1,1,True
SP,electronics,20.03,1,1,True
SP,telephony,40.839999999999996,1,1,True
SP,housewares,34.86,1,1,True
SP,pet_shop,61.269999999999996,1,1,True
PE,home_appliances_2,292.28000000000003,1,1,True
RJ,computers_accessories,97.13000000000001,1,1,True
RJ,watches_gifts,53.1,1,1,True
PE,watches_gifts,186.95,1,1,True
SP,furniture_decor,88.08,1,1,True
PI,sports_leisure,147.59,1,1,True
SP,housewares,48.32,1,1,True
PR,furniture_decor,120.6,1,1,True
RJ,garden_tools,3979.55,1,1,True
SP,health_beauty,27.6,1,1,True
RS,home_appliances,756.49,1,1,True
MG,garden_tools,75.66,1,1,True
SP,bed_bath_table,92.11999999999999,1,1,True
RJ,bed_bath_table,107.78,1,1,True
SP,sports_leisure,166.8,1,1,True
RJ,food_drink,115.92,1,1,True
RJ,sports_leisure,113.75,1,1,True
RJ,furniture_decor,64.78999999999999,1,1,True
SP,sports_leisure,53.29,1,1,True
PI,stationery,90.62,1,1,True
SC,furniture_decor,94.31,1,1,True
RJ,cine_photo,65.03,1,1,True
ES,garden_tools,32.0,1,1,True
GO,auto,76.08,1,1,True
RJ,toys,66.97,1,1,True
DF,electronics,28.130000000000003,1,1,True
ES,toys,84.05000000000001,1,1,True
MA,watches_gifts,90.28,0,1,False
SP,housewares,89.28999999999999,1,1,True
SP,health_beauty,67.87,1,1,True
MG,furniture_decor,62.93,1,1,True
ES,health_beauty,94.63,1,1,True
SP,watches_gifts,236.65,1,1,True
SP,stationery,31.740000000000002,1,1,True
RS,baby,199.27,1,1,True
SP,sports_leisure,68.16,1,1,True
SP,health_beauty,527.79,1,1,True
PE,fashion_bags_accessories,65.53,1,1,True
MG,auto,72.64,1,1,True
SP,health_beauty,101.39,1,1,True
SP,sports_leisure,121.96,1,1,True
SP,health_beauty,79.37,1,1,True
RJ,baby,84.22999999999999,0,1,False
MG,health_beauty,460.60999999999996,1,1,True
MT,perfumery,201.61,1,1,True
SP,baby,24.76,1,1,True
SP,luggage_accessories,199.84,1,1,True
BA,watches_gifts,70.83,1,1,True
MG,construction_tools_construction,129.1,1,1,True
SP,furniture_decor,189.21,1,1,True
SP,furniture_decor,58.74,1,1,True
DF,housewares,140.91,1,1,True
RJ,auto,59.18,1,1,True
SP,furniture_decor,64.28,1,1,True
RJ,telephony,84.82000000000001,1,1,True
SP,signaling_and_security,180.47,1,1,True
SP,luggage_accessories,130.20999999999998,1,1,True
MG,home_confort,103.46000000000001,1,1,True
SP,health_beauty,46.519999999999996,1,1,True
PR,bed_bath_table,325.12,1,1,True
RJ,baby,2264.9,1,1,True
SP,furniture_decor,145.88,1,1,True
SP,bed_bath_table,59.43,1,1,True
ES,fashion_bags_accessories,87.58,1,1,True
RJ,computers_accessories,175.66,1,1,True
MA,telephony,46.14,1,1,True
SP,pet_shop,45.21,1,1,True
MG,bed_bath_table,156.22,1,1,True
RJ,computers_accessories,36.01,1,1,True
SP,consoles_games,36.35,1,1,True
MG,toys,54.230000000000004,1,1,True
MG,garden_tools,66.67,1,1,True
RS,health_beauty,165.8,1,1,True
PR,pet_shop,76.17,1,1,True
BA,health_beauty,81.89,1,1,True
PR,music,39.42,1,1,True
RJ,construction_tools_lights,99.6,1,1,True
BA,office_furniture,157.95999999999998,1,1,True
SP,bed_bath_table,100.03,1,1,True
PA,books_general_interest,48.06,1,1,True
RJ,drinks,30.59,1,1,True
SP,furniture_decor,158.08,1,1,True
MG,computers_accessories,75.52000000000001,1,1,True
SP,health_beauty,336.83000000000004,1,1,True
RJ,cool_stuff,47.0,1,1,True
SP,consoles_games,48.31,1,1,True
RJ,garden_tools,77.57,1,1,True
SC,watches_gifts,128.89,1,1,True
CE,fashion_shoes,105.37,1,1,True
RS,drinks,76.28999999999999,1,1,True
SP,watches_gifts,62.64,1,1,True
SE,computers_accessories,120.82,1,1,True
RJ,garden_tools,153.72,1,1,True
SP,auto,60.78,1,1,True
PE,cool_stuff,195.68,1,1,True
MG,housewares,64.43,1,1,True
PI,bed_bath_table,87.17,1,1,True
SP,musical_instruments,26.63,1,1,True
MG,perfumery,72.14,1,1,True
RJ,watches_gifts,228.62,1,1,True
SP,computers_accessories,81.5,1,1,True
RJ,fashion_bags_accessories,34.42,1,1,True
MG,telephony,43.22,1,1,True
SP,food,35.769999999999996,1,1,True
SP,baby,76.88,1,1,True
PE,bed_bath_table,243.57,1,1,True
SC,home_construction,78.19,1,1,True
SP,computers_accessories,47.92,1,1,True
SP,bed_bath_table,284.23,1,1,True
RS,stationery,105.02,1,1,True
DF,furniture_decor,159.67,1,1,True
SP,bed_bath_table,33.72,1,1,True
SP,health_beauty,31.77,1,1,True
PE,small_appliances,591.12,1,1,True
SP,garden_tools,115.0,1,1,True
SP,bed_bath_table,106.16000000000001,1,1,True
DF,toys,118.18,1,1,True
RJ,sports_leisure,122.5,1,1,True
RJ,construction_tools_construction,64.1,1,1,True
SE,home_construction,94.97,1,1,True
SP,sports_leisure,411.69,1,1,True
SP,health_beauty,39.480000000000004,1,1,True
SP,sports_leisure,209.98,1,1,True
RJ,toys,97.03999999999999,1,1,True
MA,watches_gifts,714.23,1,1,True
ES,health_beauty,74.87,1,1,True
SP,telephony,61.99,1,1,True
SP,sports_leisure,180.3,1,1,True
SP,sports_leisure,106.91999999999999,1,1,True
RS,electronics,35.129999999999995,1,1,True
PR,bed_bath_table,47.46,1,1,True
SP,audio,96.10000000000001,1,1,True
SP,watches_gifts,198.09,1,1,True
SP,auto,418.49,1,1,True
SP,bed_bath_table,125.43,1,1,True
SP,baby,87.71000000000001,1,1,True
SP,perfumery,126.39,1,1,True
SP,computers_accessories,34.42,1,1,True
SP,drinks,84.84,1,1,True
SC,furniture_decor,31.98,1,1,True
MG,housewares,61.33,1,1,True
RS,bed_bath_table,141.64000000000001,1,1,True
GO,baby,52.22,1,1,True
SP,auto,71.77,1,1,True
MG,electronics,45.97,1,1,True
RS,health_beauty,50.1,1,1,True
RJ,small_appliances,1173.84,1,1,True
SP,telephony,37.769999999999996,1,1,True
PA,telephony,29.619999999999997,1,1,True
RJ,baby,66.6,1,1,True
SP,telephony,24.94,1,1,True
SP,bed_bath_table,149.32,1,1,True
SP,toys,62.77,1,1,True
MT,office_furniture,241.19,1,1,True
SP,sports_leisure,918.58,1,1,True
RJ,furniture_decor,415.14,1,1,True
SP,stationery,29.03,1,1,True
SP,furniture_decor,79.7,1,1,True
MG,watches_gifts,64.1,1,1,True
PE,telephony,115.87,1,1,True
SP,health_beauty,133.76,1,1,True
SP,fixed_telephony,26.38,1,1,True
GO,bed_bath_table,236.29,1,1,True
SP,fashion_bags_accessories,69.57,1,1,True
MG,furniture_decor,168.28,1,1,True
BA,cool_stuff,117.57,1,1,True
SC,home_confort,427.29,1,1,True
SP,furniture_decor,81.05,1,1,True
SP,health_beauty,69.99000000000001,1,1,True
RS,perfumery,137.45000000000002,1,1,True
SP,furniture_decor,82.16,1,1,True
SP,housewares,21.28,1,1,True
SP,telephony,14.780000000000001,1,1,True
SP,market_place,122.05,1,1,True
DF,computers_accessories,173.49,1,1,True
SP,computers_accessories,203.3,1,1,True
PB,computers_accessories,55.0,1,1,True
SP,bed_bath_table,141.9,1,1,True
SP,food,36.17,1,1,True
PR,telephony,85.24,1,1,True
SP,stationery,102.64,1,1,True
GO,toys,170.02,1,1,True
SP,books_general_interest,48.989999999999995,1,1,True
MG,dvds_blu_ray,135.49,1,1,True
SP,stationery,18.77,1,1,True
RR,computers_accessories,65.21000000000001,0,1,False
SP,computers_accessories,125.76,1,1,True
BA,food,49.959999999999994,1,1,True
SP,perfumery,150.89000000000001,1,1,True
AM,sports_leisure,95.42,1,1,True
MG,auto,46.2,1,1,True
PA,telephony,1014.61,1,1,True
RJ,furniture_decor,83.71000000000001,1,1,True
SP,bed_bath_table,171.57,1,1,True
RS,furniture_decor,99.43,1,1,True
SP,food,91.22999999999999,1,1,True
RS,electronics,27.0,1,1,True
MG,auto,97.71000000000001,1,1,True
SP,furniture_decor,87.36,1,1,True
PA,health_beauty,132.13,1,1,True
RJ,computers_accessories,88.6,1,1,True
DF,sports_leisure,60.0,1,1,True
MG,garden_tools,238.86,1,1,True
SP,small_appliances,40.29,1,1,True
RJ,cool_stuff,257.92,1,1,True
SP,consoles_games,85.85,1,1,True
DF,watches_gifts,216.15,1,1,True
MA,home_confort,144.06,1,1,True
MS,musical_instruments,53.69,1,1,True
SP,bed_bath_table,261.81,1,1,True
SC,computers_accessories,104.37,1,1,True
RJ,watches_gifts,96.33,1,1,True
SC,perfumery,253.52,1,1,True
PI,fashion_underwear_beach,186.86,1,1,True
RJ,watches_gifts,809.6999999999999,1,1,True
RJ,sports_leisure,105.29,1,1,True
RJ,furniture_decor,67.02,1,1,True
SP,construction_tools_construction,33.25,1,1,True
PR,stationery,102.13,1,1,True
MG,telephony,46.29,1,1,True
MG,bed_bath_table,133.48000000000002,1,1,True
SP,fashio_female_clothing,78.7,1,1,True
RJ,health_beauty,39.089999999999996,1,1,True
RS,construction_tools_construction,111.84,1,1,True
SP,bed_bath_table,107.07,1,1,True
PB,telephony,51.15,1,1,True
MG,bed_bath_table,105.28,1,1,True
SP,musical_instruments,96.03,1,1,True
RJ,housewares,84.47,1,1,True
SP,bed_bath_table,269.73,1,1,True
RJ,health_beauty,111.88999999999999,1,1,True
SP,health_beauty,326.9,1,1,True
SP,furniture_decor,53.82,1,1,True
SP,bed_bath_table,133.76,1,1,True
SC,bed_bath_table,185.19,1,1,True
SP,housewares,31.509999999999998,1,1,True
SP,toys,152.08,1,1,True
PE,telephony,139.51999999999998,1,1,True
MT,auto,382.90000000000003,1,1,True
SP,watches_gifts,133.4,1,1,True
GO,cool_stuff,1196.78,1,1,True
SP,art,164.62,1,1,True
PA,art,107.35000000000001,1,1,True
ES,health_beauty,133.31,1,1,True
MG,health_beauty,41.589999999999996,1,1,True
RJ,drinks,63.6,1,1,True
RJ,books_general_interest,34.05,0,1,False
SP,bed_bath_table,110.46,1,1,True
MG,sports_leisure,34.29,1,1,True
SP,electronics,33.37,1,1,True
RS,computers_accessories,201.57999999999998,1,1,True
MG,bed_bath_table,138.28,1,1,True
SC,perfumery,28.0,1,1,True
SP,bed_bath_table,48.84,1,1,True
SP,housewares,61.85,1,1,True
SP,fashion_bags_accessories,41.839999999999996,1,1,True
MG,bed_bath_table,216.73000000000002,1,1,True
SP,construction_tools_lights,60.14,1,1,True
RO,industry_commerce_and_business,127.9,1,1,True
RJ,kitchen_dining_laundry_garden_furniture,88.06,1,1,True
CE,auto,131.7,1,1,True
RO,sports_leisure,218.37,1,1,True
SP,air_conditioning,169.23000000000002,1,1,True
SP,auto,66.17,1,1,True
SC,furniture_decor,156.27,1,1,True
MG,furniture_decor,139.98000000000002,1,1,True
DF,telephony,44.0,1,1,True
SP,perfumery,41.86,1,1,True
PE,electronics,64.74,1,1,True
PA,telephony,65.53,1,1,True
SP,stationery,102.87,1,1,True
SP,bed_bath_table,75.46000000000001,1,1,True
SP,art,91.88,1,1,True
SP,furniture_decor,83.19999999999999,1,1,True
SP,telephony,22.689999999999998,1,1,True
SP,computers_accessories,95.50999999999999,1,1,True
RJ,electronics,63.510000000000005,1,1,True
SP,bed_bath_table,86.53999999999999,1,1,True
RJ,furniture_decor,62.83,1,1,True
SC,stationery,44.1,1,1,True
DF,sports_leisure,143.43,1,1,True
SP,industry_commerce_and_business,207.49,1,1,True
SP,baby,59.34,1,1,True
RJ,health_beauty,519.91,1,1,True
RJ,watches_gifts,133.69,1,1,True
PR,electronics,34.0,1,1,True
SP,watches_gifts,164.32,1,1,True
SP,furniture_decor,47.75,1,1,True
SP,housewares,31.509999999999998,1,1,True
SC,health_beauty,124.78999999999999,1,1,True
SP,bed_bath_table,147.78,1,1,True
MG,watches_gifts,124.52,1,1,True
MG,bed_bath_table,209.19,1,1,True
SP,home_construction,45.83,1,1,True
SP,health_beauty,98.1,1,1,True
RJ,pet_shop,113.46000000000001,1,1,True
PE,health_beauty,67.62,1,1,True
MA,pet_shop,177.52,1,1,True
SP,computers_accessories,155.23000000000002,1,1,True
BA,watches_gifts,110.0,1,1,True
PE,small_appliances_home_oven_and_coffee,673.47,1,1,True
RS,computers_accessories,101.14,1,1,True
SP,sports_leisure,86.02000000000001,1,1,True
SP,housewares,117.36000000000001,1,1,True
BA,health_beauty,60.03,1,1,True
RS,housewares,49.6,1,1,True
MG,sports_leisure,64.0,1,1,True
SP,housewares,174.36,1,1,True
PE,stationery,137.11,1,1,True
SP,auto,84.19,1,1,True
SP,toys,65.89,1,1,True
PR,telephony,48.3,1,1,True
BA,sports_leisure,36.28,1,1,True
SP,construction_tools_lights,365.38,1,1,True
ES,housewares,336.61,1,1,True
PR,stationery,55.09,1,1,True
RJ,electronics,33.22,1,1,True
RS,computers_accessories,170.84,1,1,True
SP,home_appliances_2,177.93,1,1,True
SP,furniture_decor,34.230000000000004,1,1,True
SP,books_general_interest,40.61,1,1,True
SE,bed_bath_table,62.98,1,1,True
SP,cool_stuff,54.129999999999995,1,1,True
RS,fashion_male_clothing,40.0,1,1,True
RS,fashion_bags_accessories,52.31,1,1,True
SC,pet_shop,54.1,1,1,True
SP,toys,25.38,1,1,True
SP,construction_tools_construction,173.4,1,1,True
RS,housewares,163.48,1,1,True
RS,sports_leisure,73.56,1,1,True
SP,housewares,74.46000000000001,1,1,True
SP,computers_accessories,840.26,1,1,True
SP,garden_tools,31.279999999999998,1,1,True
GO,auto,105.45,1,1,True
RJ,sports_leisure,1046.56,1,1,True
SP,watches_gifts,85.41,1,1,True
RS,pet_shop,156.73000000000002,1,1,True
SE,garden_tools,97.87,1,1,True
SP,auto,50.56,1,1,True
SP,furniture_decor,69.08,1,1,True
SP,computers_accessories,76.86999999999999,1,1,True
MT,stationery,234.67000000000002,1,1,True
SP,sports_leisure,115.15,1,1,True
SP,housewares,23.39,1,1,True
SP,sports_leisure,68.92999999999999,1,1,True
SP,fashion_bags_accessories,56.6,1,1,True
RS,housewares,65.1,1,1,True
MG,furniture_decor,53.51,1,1,True
SP,perfumery,21.77,1,1,True
SP,bed_bath_table,67.83,1,1,True
SP,electronics,127.69,1,1,True
RJ,computers_accessories,29.84,1,1,True
SP,telephony,271.35,1,1,True
PR,sports_leisure,22.61,1,1,True
MG,cool_stuff,163.25,1,1,True
RJ,perfumery,351.69,1,1,True
MG,computers_accessories,93.30000000000001,1,1,True
SP,toys,57.69,1,1,True
BA,furniture_decor,68.83,1,1,True
SP,telephony,126.99000000000001,1,1,True
MG,office_furniture,170.82000000000002,1,1,True
PR,bed_bath_table,58.56,1,1,True
RS,health_beauty,81.13999999999999,1,1,True
SP,fashion_bags_accessories,364.89,1,1,True
SP,furniture_decor,162.5,1,1,True
RJ,housewares,90.99,1,1,True
SP,pet_shop,254.28,1,1,True
SP,fashion_shoes,47.0,1,1,True
BA,toys,66.7,1,1,True
BA,housewares,183.85,1,1,True
SP,garden_tools,44.239999999999995,1,1,True
RJ,health_beauty,341.02,1,1,True
MG,home_construction,62.28,1,1,True
SP,computers_accessories,88.56,1,1,True
SP,telephony,55.0,1,1,True
SP,health_beauty,31.77,1,1,True
RJ,bed_bath_table,171.87,1,1,True
SP,dvds_blu_ray,32.68,1,1,True
SP,bed_bath_table,85.13,1,1,True
MG,construction_tools_construction,63.68,1,1,True
RJ,watches_gifts,41.31,1,1,True
SP,perfumery,92.59,1,1,True
TO,sports_leisure,126.58,1,1,True
RJ,watches_gifts,115.0,1,1,True
BA,housewares,65.68,1,1,True
SP,cool_stuff,42.58,1,1,True
SP,furniture_decor,69.9,1,1,True
RS,computers_accessories,47.53,1,1,True
SP,bed_bath_table,52.85,1,1,True
MA,bed_bath_table,113.74000000000001,1,1,True
SP,perfumery,65.71000000000001,1,1,True
MG,perfumery,29.09,1,1,True
PI,sports_leisure,122.49000000000001,1,1,True
SC,electronics,30.0,1,1,True
MG,health_beauty,76.98,1,1,True
MG,garden_tools,38.92,1,1,True
DF,furniture_decor,126.23,1,1,True
MG,garden_tools,161.23,1,1,True
MG,health_beauty,83.21000000000001,1,1,True
SP,fashion_underwear_beach,71.82,1,1,True
RJ,telephony,40.089999999999996,1,1,True
SP,health_beauty,110.2,1,1,True
MG,luggage_accessories,201.45,1,1,True
SP,garden_tools,63.269999999999996,1,1,True
RJ,home_confort,169.09,1,1,True
MG,health_beauty,106.97,1,1,True
MG,furniture_decor,65.35,1,1,True
RJ,home_appliances_2,462.84,1,1,True
SP,perfumery,87.8,1,1,True
SP,electronics,30.75,1,1,True
SC,auto,345.96,0,1,False
SP,furniture_decor,43.03,1,1,True
RN,stationery,35.12,1,1,True
SC,auto,610.63,1,1,True
AM,watches_gifts,133.39000000000001,1,1,True
SP,pet_shop,150.95000000000002,1,1,True
DF,toys,115.94,1,1,True
GO,bed_bath_table,100.82,1,1,True
SP,toys,47.68,1,1,True
SP,sports_leisure,27.369999999999997,1,1,True
SP,telephony,41.839999999999996,1,1,True
SC,toys,279.17,1,1,True
RJ,perfumery,71.14,1,1,True
RJ,bed_bath_table,76.36,1,1,True
MG,electronics,34.129999999999995,1,1,True
SC,telephony,44.0,1,1,True
RJ,telephony,39.089999999999996,1,1,True
SP,furniture_living_room,72.21000000000001,1,1,True
SP,small_appliances_home_oven_and_coffee,36.75,1,1,True
RS,furniture_decor,186.87,1,1,True
SP,housewares,50.510000000000005,1,1,True
PR,furniture_decor,44.089999999999996,1,1,True
PR,computers_accessories,110.47,1,1,True
SP,toys,62.71,1,1,True
SC,fashion_bags_accessories,65.0,1,1,True
RS,sports_leisure,61.11,1,1,True
RS,health_beauty,113.33000000000001,1,1,True
MG,auto,100.77,1,1,True
RS,computers_accessories,50.09,1,1,True
SP,bed_bath_table,40.75,1,1,True
MG,home_construction,95.22,1,1,True
SP,baby,192.14000000000001,1,1,True
MG,baby,155.72,1,1,True
MG,garden_tools,50.12,1,1,True
SP,auto,385.0,1,1,True
SC,stationery,78.19,1,1,True
RJ,bed_bath_table,119.59,1,1,True
SP,furniture_decor,43.88,1,1,True
RJ,watches_gifts,42.95,1,1,True
MG,bed_bath_table,103.11000000000001,1,1,True
SP,telephony,26.68,1,1,True
RJ,bed_bath_table,184.93,1,1,True
ES,fashion_bags_accessories,106.06,1,1,True
ES,furniture_decor,161.70000000000002,1,1,True
MG,sports_leisure,157.54,1,1,True
SP,telephony,35.769999999999996,1,1,True
RJ,electronics,37.8,1,1,True
RJ,musical_instruments,601.49,1,1,True
MG,cool_stuff,128.29999999999998,1,1,True
SP,housewares,195.17000000000002,1,1,True
SP,computers_accessories,317.39,1,1,True
SP,health_beauty,118.35,1,1,True
SP,bed_bath_table,25.1,1,1,True
ES,toys,105.38,1,1,True
RJ,bed_bath_table,133.35,1,1,True
MG,auto,120.61,1,1,True
SP,computers_accessories,41.89,1,1,True
ES,furniture_decor,76.94,1,1,True
SP,housewares,163.44,1,1,True
MG,sports_leisure,154.92000000000002,1,1,True
RJ,garden_tools,135.07999999999998,1,1,True
PR,furniture_decor,90.26,1,1,True
RJ,computers_accessories,92.34,1,1,True
DF,sports_leisure,221.79000000000002,1,1,True
AC,furniture_decor,107.74000000000001,1,1,True
PE,watches_gifts,110.0,1,1,True
MG,baby,77.66,1,1,True
RJ,garden_tools,76.86,1,1,True
DF,garden_tools,183.18,1,1,True
MT,electronics,29.04,1,1,True
SP,sports_leisure,309.34999999999997,1,1,True
SP,telephony,66.87,1,1,True
MG,telephony,65.09,1,1,True
ES,auto,53.0,1,1,True
SP,consoles_games,36.35,1,1,True
SP,stationery,92.57,1,1,True
SP,toys,101.73,1,1,True
SC,telephony,45.0,1,1,True
RJ,signaling_and_security,40.120000000000005,1,1,True
RJ,housewares,150.9,1,1,True
MG,garden_tools,67.67,1,1,True
SP,housewares,83.31,1,1,True
SP,housewares,449.42999999999995,1,1,True
MG,housewares,179.19,1,1,True
MG,health_beauty,215.14,1,1,True
SP,health_beauty,43.0,1,1,True
MG,baby,62.69,1,1,True
MG,electronics,54.1,1,1,True
SP,bed_bath_table,139.41,1,1,True
SP,auto,27.39,1,1,True
BA,bed_bath_table,93.44,1,1,True
RJ,furniture_decor,33.69,1,1,True
PI,telephony,209.46,1,1,True
RJ,health_beauty,93.3,1,1,True
SP,stationery,139.75,1,1,True
MG,furniture_living_room,380.97,1,1,True
PR,industry_commerce_and_business,71.64,1,1,True
BA,health_beauty,39.78,1,1,True
MG,auto,99.23,1,1,True
PA,telephony,40.129999999999995,1,1,True
SP,office_furniture,405.26,1,1,True
PR,housewares,28.61,1,1,True
RJ,watches_gifts,198.17999999999998,1,1,True
SP,watches_gifts,663.35,1,1,True
SP,computers_accessories,103.99,1,1,True
SP,home_appliances,82.73,1,1,True
GO,computers_accessories,118.39,1,1,True
MG,furniture_decor,249.99,1,1,True
MG,stationery,96.8,1,1,True
DF,sports_leisure,84.75,1,1,True
RJ,furniture_decor,145.58,1,1,True
RN,housewares,54.37,1,1,True
SP,computers_accessories,105.93,1,1,True
SP,housewares,48.89,1,1,True
SP,furniture_decor,23.6,1,1,True
RJ,computers_accessories,176.71,1,1,True
RJ,auto,55.1,1,1,True
RJ,pet_shop,79.72,1,1,True
MG,bed_bath_table,97.2,1,1,True
DF,computers_accessories,207.70000000000002,1,1,True
RJ,office_furniture,247.11,1,1,True
SP,auto,23.78,1,1,True
SP,drinks,65.87,1,1,True
SP,perfumery,52.57,1,1,True
SP,furniture_decor,91.16,1,1,True
SP,baby,76.08,1,1,True
MG,garden_tools,64.86,1,1,True
RS,computers_accessories,66.44,1,1,True
SP,watches_gifts,172.52,1,1,True
RS,furniture_decor,56.49,1,1,True
RJ,cool_stuff,174.21,1,1,True
